,main_mode,weight
861,HOV,110.249046656581
885,SOV,386.280115698497
924,SOV,224.772067136761
926,SOV,285.476931983916
928,SOV,224.772067136761
934,SOV,0.0
941,SOV,676.846335062156
944,SOV,859.644250370914
947,HOV,226.290973192685
949,SOV,287.40605354399304
951,HOV,287.40605354399304
952,HOV,226.290973192685
953,HOV,0.0
954,SOV,0.0
961,HOV,1498.621675561455
1006,SOV,4934.4934850378195
1007,HOV,1996.43115490627
1031,SOV,776.170772719882
1033,Walk,6416.62573127378
1035,Walk,8149.58304555939
1037,Transit,6416.62573127378
1038,Transit,1915.00479851947
1039,Transit,1915.00479851947
1041,Walk,3332.10834942388
1056,SOV,3336.96592406462
1057,SOV,3336.96592406462
1058,SOV,2627.38121607386
1059,Walk,1210.81338038101
1060,Walk,1210.81338038101
1061,Walk,1259.5203701381279
1092,HOV,17675.02376425697
1093,HOV,17675.02376425697
1094,HOV,4039.57779947988
1095,HOV,4039.57779947988
1096,SOV,4039.57779947988
1097,SOV,4039.57779947988
1098,HOV,4039.57779947988
1099,HOV,4039.57779947988
1100,SOV,162.2131817344648
1101,SOV,162.2131817344648
1102,HOV,2219.588134364071
1103,HOV,2219.588134364071
1104,HOV,616.527687763579
1105,HOV,616.527687763579
1106,SOV,438.510221006965
1107,SOV,438.510221006965
1108,Walk,5396.86605369072
1111,Walk,5396.86605369072
1132,SOV,728.773673720397
1133,SOV,728.773673720397
1153,Walk,493.796404696628
1154,Walk,627.1574774979069
1155,Walk,627.1574774979069
1156,Walk,627.1574774979069
1159,Other,180.681426177906
1160,Walk,191.335260525737
1161,Other,191.335260525737
1162,SOV,5784.03806809221
1169,SOV,785.647738287684
1170,SOV,997.829974175598
1171,SOV,785.647738287684
1175,Walk,785.647738287684
1176,Walk,785.647738287684
1182,SOV,460.763020112213
1183,SOV,460.763020112213
1197,SOV,11500.30792164661
1198,SOV,11500.30792164661
1199,HOV,15755.42185265587
1200,HOV,15755.42185265587
1203,SOV,2893.83501985643
1204,SOV,2893.83501985643
1205,HOV,3964.55397720331
1206,HOV,3964.55397720331
1207,Transit,0.0
1208,SOV,0.0
1209,Transit,0.0
1210,SOV,0.0
1245,SOV,9187.55617700085
1247,SOV,413.391205433643
1248,SOV,525.03700544127
1261,SOV,232.253632452187
1263,SOV,935.078036328675
1264,SOV,736.2396033162561
1265,Walk,273.730078503079
1266,Walk,273.730078503079
1267,SOV,273.730078503079
1268,SOV,273.730078503079
1272,SOV,873.430730588098
1273,SOV,873.430730588098
1311,SOV,2110.619283301068
1312,SOV,2110.619283301068
1313,HOV,2110.619283301068
1315,HOV,2110.619283301068
1316,SOV,1661.8094357025639
1341,SOV,4643.35288728128
1347,HOV,5897.39709771491
1348,SOV,5897.39709771491
1350,SOV,4643.35288728128
1351,SOV,5897.39709771491
1352,SOV,987.318609179989
1353,SOV,987.318609179989
1400,Walk,2033.023589550695
1401,Walk,2033.023589550695
1402,SOV,342.991395345036
1403,SOV,435.624107956469
1404,SOV,342.991395345036
1405,SOV,656.9465556142279
1406,SOV,656.9465556142279
1407,SOV,656.9465556142279
1408,SOV,656.9465556142279
1409,Bike,1827.786886326742
1410,Bike,1827.786886326742
1417,SOV,2717.53139498726
1437,Walk,802.239592351711
1438,Walk,802.239592351711
1439,HOV,160.784138967534
1449,Bike,365.26611538263603
1450,Bike,365.26611538263603
1455,Bike,2769.22438619749
1456,Bike,3517.11710363769
1457,Bike,2021.331668757293
1474,Transit,675.654798453367
1475,SOV,617.1821638660331
1476,SOV,1073.896965126898
1477,SOV,1073.896965126898
1478,SOV,1073.896965126898
1479,SOV,845.539564496465
1480,SOV,511.750138592268
1481,SOV,649.960030036895
1482,SOV,511.750138592268
1483,SOV,376.388689048836
1484,Walk,654.916318944974
1485,Walk,654.916318944974
1491,Transit,2420.48010036477
1492,Transit,1391.08051745102
1507,SOV,802.239592351711
1508,Walk,1018.9028399211511
1509,Walk,1018.9028399211511
1510,Walk,1018.9028399211511
1515,HOV,222.92293372715898
1516,SOV,222.92293372715898
1530,SOV,891.49201061636
1531,SOV,4037.61165989594
1532,SOV,5128.0615242474
1535,SOV,2947.16179554448
1554,HOV,1562.38087161262
1555,HOV,1562.38087161262
1556,HOV,1562.38087161262
1564,HOV,4679.92804674138
1566,HOV,4098.90904472564
1567,SOV,5205.91367724279
1568,SOV,5205.91367724279
1572,SOV,1980.63704097901
1573,HOV,1980.63704097901
1574,HOV,0.0
1575,HOV,0.0
1584,SOV,14467.99367393029
1585,SOV,18375.40802382393
1586,SOV,14467.99367393029
1587,SOV,1123.469389621262
1590,SOV,1426.8881298839378
1591,SOV,1123.469389621262
1592,HOV,410.958812286817
1593,HOV,715.068333379062
1595,SOV,17759.89180687798
1615,HOV,6311.4340075607
1617,SOV,6311.4340075607
1618,SOV,4969.34746572308
1620,HOV,6311.4340075607
1621,HOV,4969.34746572308
1624,HOV,1803.99192750076
1625,HOV,2291.20142616885
1626,HOV,2291.20142616885
1627,HOV,1803.99192750076
1629,HOV,2291.20142616885
1630,HOV,1803.99192750076
1657,SOV,787.46858929924
1658,SOV,787.46858929924
1661,HOV,14776.56258322321
1662,SOV,14776.56258322321
1663,SOV,14776.56258322321
1664,HOV,14776.56258322321
1665,HOV,2101.51286492859
1666,HOV,2101.51286492859
1667,HOV,0.0
1668,HOV,0.0
1669,HOV,0.0
1670,HOV,0.0
1671,SOV,494.048419753399
1672,SOV,494.048419753399
1674,Transit,953.177641135241
1679,Walk,273.730078503079
1680,Walk,273.730078503079
1687,Walk,975.065644347512
1688,Walk,975.065644347512
1703,Walk,139.593937524557
1704,Walk,177.294489994693
1708,HOV,6643.905644508758
1711,Walk,720.423863714484
1713,HOV,567.230283499335
1714,HOV,720.423863714484
1716,HOV,718.784164727962
1718,Transit,565.939256136384
1730,HOV,113.021897542662
1731,SOV,113.021897542662
1732,SOV,564.762576791322
1733,SOV,564.762576791322
1734,HOV,564.762576791322
1737,SOV,113.021897542662
1786,SOV,319.06978542490504
1787,SOV,251.22161266213698
1788,Walk,109.822563820082
1789,Walk,109.822563820082
1806,HOV,1465.905341835383
1811,HOV,411.758382299404
1812,SOV,756.075423794375
1813,SOV,960.2709762059931
1814,SOV,756.075423794375
1815,HOV,756.075423794375
1816,HOV,960.2709762059931
1817,HOV,756.075423794375
1818,HOV,662.393719198364
1819,HOV,841.288373288433
1820,HOV,662.393719198364
1829,Walk,1427.92482073038
1834,HOV,8273.14589147464
1835,SOV,8273.14589147464
1836,SOV,2134.35905821989
1837,HOV,2134.35905821989
1838,HOV,0.0
1839,HOV,0.0
1844,SOV,3127.92549221302
1845,SOV,3972.6936908399002
1846,SOV,3972.6936908399002
1847,SOV,3972.6936908399002
1871,HOV,20137.51475038333
1872,HOV,2966.49415202739
1877,Transit,4017.34610744004
1882,HOV,0.0
1883,HOV,0.0
1884,HOV,2918.57183562897
1885,Walk,2918.57183562897
1889,HOV,3998.44341481169
1898,HOV,1436.265026779269
1899,HOV,1436.265026779269
1900,HOV,362.989176644537
1901,HOV,362.989176644537
1911,SOV,226.462262830998
1912,Walk,226.462262830998
1922,HOV,802.615921848839
1924,SOV,863.722453741717
1925,SOV,680.057334267903
1942,Transit,310.747862567679
1943,HOV,540.701280867762
1944,HOV,540.701280867762
1946,SOV,243.58033558516001
1947,SOV,309.364805779692
1948,SOV,243.58033558516001
1949,SOV,518.082875917749
1950,SOV,518.082875917749
1951,SOV,17251.98524228824
1952,SOV,17251.98524228824
1955,SOV,228.513118263481
1956,SOV,290.22833998427495
1957,SOV,290.22833998427495
1959,SOV,228.513118263481
1994,Walk,823.008295341929
2004,Walk,224.155183288785
2005,Walk,284.693444468968
2006,Walk,284.693444468968
2007,Walk,284.693444468968
2010,SOV,637.711323853882
2013,SOV,637.711323853882
2016,SOV,189.275455320775
2017,SOV,329.339292258148
2018,SOV,329.339292258148
2020,SOV,329.339292258148
2021,SOV,189.275455320775
2055,HOV,741.749043161281
2056,HOV,741.749043161281
2073,Transit,3330.55507094263
2074,Transit,4230.04804630669
2075,Transit,3330.55507094263
2088,Transit,162.3613845564862
2089,Transit,162.3613845564862
2090,Transit,222.435096842386
2091,Walk,4259.9322408834
2092,Walk,5410.424889881109
2093,Walk,4259.9322408834
2097,SOV,2122.7951192874507
2099,SOV,2122.7951192874507
2100,Walk,2122.7951192874507
2101,Walk,2122.7951192874507
2102,Walk,921.509827876109
2103,Walk,921.509827876109
2104,SOV,3311.77765985365
2107,SOV,1572.60542375898
2108,SOV,1572.60542375898
2109,SOV,221.260459185213
2110,SOV,281.0169335637
2111,SOV,281.0169335637
2112,SOV,281.0169335637
2113,SOV,281.0169335637
2114,SOV,281.0169335637
2116,SOV,1281.330032893554
2117,SOV,1281.330032893554
2118,Transit,1913.8337081102668
2119,Transit,1913.8337081102668
2120,SOV,447.068442895155
2121,SOV,447.068442895155
2122,SOV,326.327330580405
2123,SOV,326.327330580405
2124,Transit,592.886443095265
2125,Transit,592.886443095265
2126,Walk,1168.635702750791
2127,Walk,1484.252644369617
2158,SOV,656.9465556142279
2180,SOV,2399.10190782523
2181,SOV,1378.79419989956
2195,SOV,12703.17122679714
2196,SOV,12703.17122679714
2197,SOV,12703.17122679714
2198,SOV,22103.51793462706
2199,SOV,12703.17122679714
2200,SOV,2945.87522734691
2201,SOV,2945.87522734691
2206,SOV,141.483531061068
2211,SOV,901.9610117332401
2223,HOV,236.64260263564
2224,HOV,300.55337852993705
2225,HOV,300.55337852993705
2226,HOV,236.64260263564
2227,HOV,325.306771018414
2228,HOV,413.163344213168
2229,HOV,413.163344213168
2230,HOV,325.306771018414
2272,SOV,2960.20292954786
2273,SOV,5150.75309741328
2274,SOV,5150.75309741328
2275,SOV,5150.75309741328
2276,SOV,5150.75309741328
2277,HOV,236.61491521328
2278,HOV,236.61491521328
2279,HOV,112.792927446172
2288,HOV,1185.9110666666988
2289,HOV,1185.9110666666988
2290,HOV,1185.9110666666988
2293,HOV,394.578034942269
2320,SOV,249.113643505683
2321,SOV,249.113643505683
2322,SOV,249.113643505683
2325,HOV,0.0
2326,SOV,0.0
2327,HOV,0.0
2328,SOV,0.0
2329,SOV,904.7549562387301
2330,SOV,904.7549562387301
2331,SOV,310.739493993992
2332,SOV,394.66183908726
2335,Walk,2166.413126629369
2336,Walk,811.038277966356
2337,Walk,1030.07781289158
2338,SOV,1030.07781289158
2356,Walk,1303.406131421717
2367,Walk,139.210239221048
2388,SOV,4055.47801348057
2389,SOV,5150.75309741328
2394,SOV,507.148906080405
2395,SOV,882.439096579905
2396,SOV,882.439096579905
2397,SOV,882.439096579905
2398,SOV,507.148906080405
2399,HOV,225.456004779864
2400,HOV,286.345582713112
2401,HOV,225.456004779864
2402,HOV,110.192598786933
2403,HOV,139.952643714791
2404,HOV,110.192598786933
2405,SOV,1859.33747438079
2406,SOV,1859.33747438079
2407,SOV,1859.33747438079
2408,SOV,1859.33747438079
2409,SOV,1868.776834346618
2410,SOV,2373.482986688401
2411,SOV,2373.482986688401
2413,SOV,1868.776834346618
2420,SOV,183.726274910142
2421,SOV,183.726274910142
2448,HOV,0.0
2449,SOV,897.29088729068
2450,SOV,897.29088729068
2451,HOV,428.974653719227
2452,HOV,428.974653719227
2453,HOV,0.0
