,TRACT,centroid_x,centroid_y
61,530330026003,-122.31230337619048,47.67750532380952
62,530330026004,-122.315202744,47.685286596
63,530330027001,-122.3209881653846,47.68690313846154
64,530330027002,-122.32754126938777,47.68719669387755
65,530330027003,-122.33455002777777,47.68665397777778
66,530330027004,-122.3422803,47.686665483333336
67,530330028001,-122.34987645,47.6854862125
68,530330028002,-122.34904619285714,47.6828221
69,530330028003,-122.34892419333332,47.68068775333333
70,530330028004,-122.34991704,47.68875045
71,530330029001,-122.36040431818182,47.6885557590909
72,530330029002,-122.35849440384617,47.68222975
73,530330029003,-122.3635259368421,47.683394963157895
74,530330030001,-122.36784948,47.685145483333336
75,530330030002,-122.37648004,47.68873679
76,530330030003,-122.37354435909091,47.68307313636364
77,530330030004,-122.379465915,47.68320062
78,530330031001,-122.38541953333332,47.68778388888889
79,530330031002,-122.39117679999998,47.68667454444444
80,530330031003,-122.38552021764706,47.68215367058824
81,530330031004,-122.39601118620688,47.6811621862069
82,530330031005,-122.399409,47.687106265
83,530330034001,-122.36179735625,47.674180425
84,530330034002,-122.36196502777776,47.67777375555556
85,530330034003,-122.36245579473685,47.67019799473684
86,530330035001,-122.35101082647058,47.67765276176471
87,530330035002,-122.351181676,47.674025072000006
88,530330035003,-122.35444103225808,47.668666125806446
89,530330038001,-122.29298528666666,47.67880824
90,530330038002,-122.29831216875,47.67962229375
91,530330039001,-122.28562454814814,47.67931793333333
92,530330039002,-122.27821241904762,47.67870210952381
93,530330040001,-122.260595618,47.681403158
94,530330040002,-122.27185342777778,47.67899303888888
95,530330043011,-122.29809551904762,47.66507427142857
96,530330043012,-122.29854986153848,47.67223535384616
97,530330043013,-122.3038175724138,47.671921934482754
98,530330043021,-122.3050300076923,47.66484023076923
99,530330043022,-122.3022274923077,47.665569969230766
100,530330045001,-122.31974101764706,47.6684267
101,530330045002,-122.32450336578948,47.66881622894737
102,530330046001,-122.3384712625,47.671328940625
103,530330046002,-122.3322712,47.67007195238095
104,530330046003,-122.33238501538462,47.66631536153846
105,530330048001,-122.359270603125,47.66585605
106,530330048002,-122.35818524285716,47.66001098214286
107,530330048003,-122.3619191617647,47.65627912352941
108,530330048004,-122.36390561578946,47.66373258421053
109,530330050001,-122.34138769,47.663075104
110,530330050002,-122.3421412,47.65790427222223
111,530330050003,-122.34477465625,47.6608525
112,530330051001,-122.33261683703704,47.662495051851856
113,530330051002,-122.3320251,47.65793275
114,530330051003,-122.3318926681818,47.65384834090909
115,530330056001,-122.407178764,47.65009765200001
116,530330056002,-122.41426911470587,47.64933919117647
117,530330056003,-122.40447961568628,47.63742420392157
118,530330056004,-122.40521076060604,47.64190963333333
119,530330056005,-122.39483554464286,47.63637174107144
120,530330057001,-122.4143039875,47.662376990625
121,530330057002,-122.39377772,47.648477388
122,530330057003,-122.39640104444445,47.642099127777776
123,530330057004,-122.40014486,47.650622815000006
124,530330057005,-122.39799377307692,47.66231838076923
125,530330058011,-122.38489113636363,47.6510123
126,530330058012,-122.38933712857144,47.65109294285714
127,530330058013,-122.39070937894736,47.65527705263158
128,530330058014,-122.3837165609756,47.65611073414634
129,530330060001,-122.34388795,47.64034853333334
