,person_dim_id,21-5c,5-13c,13-21c,21-5s,5-13s,13-21s
2155,1712204802,0,1,1,0,0,0
2156,1712204803,0,1,1,0,1,0
2157,1712209601,2,3,1,0,2,0
2158,1712213301,0,1,4,0,0,0
2159,1712214601,3,7,10,0,3,3
2160,1712218202,0,2,0,0,0,0
2161,1712218901,0,2,1,0,1,1
2162,1712218903,0,1,1,0,0,0
2163,1712219001,0,1,2,0,0,0
2164,1712219002,0,0,2,0,0,0
2165,1712223601,0,2,2,0,0,0
2166,1712223603,0,1,1,0,0,0
2167,1712223604,0,1,1,0,0,0
2168,1712225801,0,1,5,0,0,0
2169,1712227101,0,2,4,0,0,0
2170,1712227102,0,2,2,0,0,0
2171,1712228002,0,0,2,0,0,0
2172,1712229601,0,17,28,0,1,1
2173,1712229602,0,6,31,0,0,1
2174,1712229901,0,0,2,0,0,2
2175,1712230501,0,3,4,0,2,0
2176,1712230502,0,0,3,0,0,2
2177,1712230503,0,0,2,0,0,2
2178,1712230901,1,1,2,0,0,0
2179,1712230902,0,1,1,0,0,0
2180,1712233202,0,1,1,0,0,0
2181,1712234801,1,1,2,0,0,0
2182,1712234802,1,0,1,0,0,0
2183,1712241601,1,2,3,0,0,0
2184,1712242001,0,2,0,0,0,2
2185,1712242002,0,3,1,0,0,0
2186,1712242601,1,4,5,0,0,1
2187,1712242702,0,1,1,0,0,0
2188,1712244001,0,5,1,0,0,0
2189,1712246501,3,5,16,0,0,0
2190,1712247601,0,3,2,0,0,2
2191,1712247602,0,3,3,0,2,2
2192,1712248701,0,0,0,0,1,3
2193,1712248702,0,1,1,0,0,0
2194,1712251601,0,0,2,0,2,0
2195,1712251602,0,1,1,0,0,0
2196,1712251603,0,0,2,0,2,0
2197,1712251604,0,0,2,0,2,0
2198,1712252001,1,2,3,0,1,2
2199,1712252002,0,3,1,0,0,0
2200,1712252003,0,1,1,0,0,0
2201,1712252004,0,1,1,0,0,0
2202,1712252005,0,1,1,0,0,0
2203,1712254101,0,1,1,0,0,0
2204,1712254102,0,1,3,0,0,0
