,o_tract10,d_tract10
14605,53033031502,53033031400
14608,53033031601,53033008500
14623,53033031603,53033031604
14644,53033031604,53033031603
14650,53033031605,53033011900
14660,53033031703,53033029403
14675,53033031704,53033031705
14681,53033031705,53033031706
14700,53033031706,53033031601
14722,53033031800,53033029502
14742,53033031903,53033032210
14745,53033031904,53033000700
14751,53033031906,53033010100
14767,53033031907,53033031908
14786,53033031908,53033031907
14790,53033031909,53033029206
14798,53033032002,53033031604
14810,53033032003,53033032010
14820,53033032005,53033031706
14823,53033032006,53033030401
14835,53033032007,53033029502
14842,53033032008,53033031603
14856,53033032010,53033032011
14873,53033032011,53033032010
14893,53033032102,53033032210
14955,53033032103,53033032208
14982,53033032104,53033032103
14998,53033032203,53033032214
15006,53033032207,53033032208
15063,53033032208,53033032103
15110,53033032210,53033032208
15127,53033032211,53033032208
15132,53033032212,53033007200
15138,53033032213,53033023803
15163,53033032214,53033032215
15180,53033032215,53033032214
15188,53033032307,53033032311
15311,53033032309,53033032313
15331,53033032311,53033021802
15417,53033032313,53033032309
15441,53033032315,53033024500
15454,53033032316,53033032313
15466,53033032317,53033032309
15478,53033032318,53033032214
15535,53033032319,53033032309
15550,53033032320,53033032311
15581,53033032321,53033032324
15586,53033032322,53033032309
15627,53033032323,53033032309
15684,53033032324,53033032309
15721,53033032325,53033032309
15740,53033032326,53033032313
15754,53033032327,53033032309
15775,53033032328,53033032313
15795,53033032329,53033032328
15801,53033032401,53033032402
15808,53033032402,53033032401
15810,53033032500,53033007300
15822,53033032601,53033032210
15839,53033032602,53033032704
15859,53033032702,53033032704
15870,53033032703,53033032327
15894,53033032704,53033032602
15916,53033032800,53033032704
15917,53033990100,53033005600
